seed,n_genes,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_val_loss,test_size,test_positive_samples,test_negative_samples
6,100,0.9074074074074074,0.9025245441795231,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.9691444600280505,0.32874135948993544,54,23,31
7,100,0.8518518518518519,0.8597475455820476,0.7777777777777778,0.9130434782608695,0.84,0.9537166900420757,0.4883864610283463,54,23,31
8,100,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9691444600280504,0.21575344381509004,54,23,31
9,100,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9382889200561011,0.4518392659999706,54,23,31
10,100,0.7592592592592593,0.773492286115007,0.6666666666666666,0.8695652173913043,0.7547169811320755,0.94109396914446,0.33787102390218665,54,23,31
11,100,0.8518518518518519,0.8541374474053296,0.8,0.8695652173913043,0.8333333333333334,0.9284712482468442,0.36116275522443986,54,23,31
12,100,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9382889200561011,0.2833954702924799,54,23,31
13,100,0.8148148148148148,0.8218793828892006,0.7407407407407407,0.8695652173913043,0.8,0.9326788218793829,0.3035328012925607,54,23,31
14,100,0.8888888888888888,0.8976157082748948,0.8148148148148148,0.9565217391304348,0.88,0.9410939691444601,0.3795963114610425,54,23,31
15,100,0.8518518518518519,0.8485273492286115,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.9495091164095372,0.17148711684125442,54,23,31
16,100,0.8703703703703703,0.8758765778401122,0.8076923076923077,0.9130434782608695,0.8571428571428571,0.9284712482468442,0.31466291237760474,54,23,31
17,100,0.8888888888888888,0.8976157082748948,0.8148148148148148,0.9565217391304348,0.88,0.973352033660589,0.17352814448100548,54,23,31
18,100,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9537166900420757,0.385322618815634,54,23,31
19,100,0.8703703703703703,0.8758765778401122,0.8076923076923077,0.9130434782608695,0.8571428571428571,0.967741935483871,0.17119000660669473,54,23,31
0,500,0.9259259259259259,0.9298737727910238,0.88,0.9565217391304348,0.9166666666666666,0.97054698457223,0.2668369670433027,54,23,31
1,500,0.9259259259259259,0.9298737727910238,0.88,0.9565217391304348,0.9166666666666666,0.9873772791023843,0.14410885683847247,54,23,31
2,500,0.9074074074074074,0.9137447405329593,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.9761570827489481,0.09433110372197849,54,23,31
3,500,0.9814814814814815,0.9838709677419355,0.9583333333333334,1.0,0.9787234042553191,1.0,0.2839231562835199,54,23,31
4,500,0.9259259259259259,0.9298737727910238,0.88,0.9565217391304348,0.9166666666666666,0.9831697054698457,0.20298978327601044,54,23,31
5,500,0.9444444444444444,0.9460028050490883,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.9859747545582048,0.19711208350404544,54,23,31
6,500,0.9444444444444444,0.9403927068723703,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.9957924263674615,0.2406317834500913,54,23,31
7,500,0.8703703703703703,0.8758765778401122,0.8076923076923077,0.9130434782608695,0.8571428571428571,0.9635343618513323,0.33373764709190085,54,23,31
8,500,0.9259259259259259,0.9242636746143057,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9901823281907434,0.17775723807237767,54,23,31
9,500,0.9444444444444444,0.9460028050490883,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.97054698457223,0.2627543630423369,54,23,31
10,500,0.8518518518518519,0.8541374474053296,0.8,0.8695652173913043,0.8333333333333334,0.9214586255259467,0.12086044307108279,54,23,31
11,500,0.8703703703703703,0.8702664796633941,0.8333333333333334,0.8695652173913043,0.851063829787234,0.9565217391304348,0.21027941863845895,54,23,31
12,500,0.8888888888888888,0.8976157082748948,0.8148148148148148,0.9565217391304348,0.88,0.9579242636746144,0.15965377842938458,54,23,31
13,500,0.8518518518518519,0.8597475455820476,0.7777777777777778,0.9130434782608695,0.84,0.9509116409537167,0.2726749866097062,54,23,31
14,500,0.9074074074074074,0.9137447405329593,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.9607293127629734,0.281012328962485,54,23,31
15,500,0.8888888888888888,0.8863955119214586,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9761570827489481,0.16200609036065913,54,23,31
16,500,0.8888888888888888,0.8976157082748948,0.8148148148148148,0.9565217391304348,0.88,0.9663394109396914,0.2594778203853854,54,23,31
17,500,0.9629629629629629,0.967741935483871,0.92,1.0,0.9583333333333334,0.9985974754558204,0.15145737746799434,54,23,31
18,500,0.9074074074074074,0.9193548387096775,0.8214285714285714,1.0,0.9019607843137255,0.9859747545582048,0.33004069162739647,54,23,31
19,500,0.9074074074074074,0.9025245441795231,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.9803646563814866,0.028453149595642806,54,23,31
